Term    ScopeNote   Use for Use Broader Narrower    Related Reference   Class   Code
"APPEALS (decisions)"	"The activities involved in the process of appeals against decisions by application to a higher authority.

See INFORMATION MANAGEMENT - CASES - Freedom of Information (FOI) for appeals relating to Freedom of Information (FOI) applications where the case needs to be handled on the same file, for legislative or operational reasons.

See COMPENSATION - CASES for appeals relating to compensation claims and payments where the case needs to be handeld on the same file, for legislative or operational reasons.

See PERSONNEL - RECRUITMENT for appeals relating to recruitment.

See PERSONNEL - DISCIPLINE for disciplinary appeals.
"#9"Hearings (appeals)"	""#9"COMPENSATION|INDUSTRIAL RELATIONS|INFORMATION MANAGEMENT|PERSONNEL"#9"Administrative Appeals Tribunal|Appeal Book|Freedom of Information (FOI)|GREAT|Legal Representation|Offences|Reinstatement|Tribunals"#9"Determinations"	"RMO Keyword AAA"	"activity descriptor"	""
"Appliances"	""#9""	""#9"ACQUISITION|DISPOSAL"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Applicants"	""	""#9"Applications"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"APPLICATION DEVELOPMENT"	"The activities associated with developing software and programming codes to run business applications. Includes specifications, testing, pilots, prototyping and metadata requirements."#9""	""#9"TECHNOLOGY & TELECOMMUNICATIONS"#9"Business Case|Cost Benefit Analysis|Data Dictionaries|Feasibility Studies|Licences|Manuals|Metadata Management|Performance Indicators|Pilots|Post Implementation Review|Prototypes|Software|Specifications|Surveys|Systems Integration|Tests|User Requirements|Web Sites"#9"DATABASE MANAGEMENT"	"RMO Keyword AAA"	"activity descriptor"	""
"Application Software"	""	""#9"Software"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Applications"	"Applications relating to compensation claims, Freedom of Information requests etc. 
Add the type of application as free text if necessary.

Tip: Place successful job applications on the appropriate personal file. Place lists of applicants and selection reports on the relevant RECRUITMENT file."#9"Applicants"	""#9"ARRANGEMENTS|CLAIMS|COMMITTEES|CONSERVATION|GRANT FUNDING|PRIVACY|RECRUITMENT"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Appointments"	"Tip: Place correspondence on appointments of personnel on the relevant personal file."#9"Permanent Appointments"	""#9"ARRANGEMENTS|COMMITTEES|EMPLOYMENT CONDITIONS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Appreciation (letters)"	""#9"Compliments|Congratulations (letters)"	""#9"GREETINGS|PUBLIC REACTION"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Apprenticeships"	"System by which personnel learn a specified trade through attendance at a tertiary course and by working at the trade under the supervision of a skilled tradesperson within the organisation. Excludes cadetships or traineeships."#9""	""#9"EMPLOYMENT CONDITIONS"#9""#9"Cadets/Cadetships (personnel)|Traineeships"	"RMO Keyword AAA"	"subject descriptor"	""
"Appropriations"	"Additional money allocated from Treasury from the Consolidated Fund for the purpose of funding capital works and services or other activities of a recurrent nature."#9""	""#9"BUDGETING|TREASURY MANAGEMENT"#9""#9"Capital Works"	"RMO Keyword AAA"	"subject descriptor"	""
"Approvals (of funds, etc.)"	""	""#9"AUTHORISATION"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Arbitration"	"The formal process of settling disputes between different parties after concilatory talks have failed, by reference to an impartial third party such as the Industrial Commission or the Conciliation Commission.
"#9"Reconciliation (arbitration)"	""#9"DISPUTES|LITIGATION|POLICY|PROCEDURES"#9""#9"Alternate Dispute Resolution (ADR)"	"RMO Keyword AAA"	"subject descriptor"	""
"Archives"	"Records appraised as having continuing value. Includes strategies, policies and procedures to ensure the identification, creation and management of archives."#9""	""#9"COMMITTEES|COMPLIANCE|CONSERVATION|CONTRACTING-OUT|CONTROL|CUSTOMER SERVICE|DISPOSAL|DONATIONS|ENQUIRIES|INVENTORY|MEETINGS|PLANNING|POLICY|PROCEDURES|REPORTING|RISK MANAGEMENT|SECURITY|STANDARDS"#9""#9"Classification|Finding Aids|Freedom of Information (FOI)|Library Materials|Records|Storage (areas)|Vital Records"	"RMO Keyword AAA"	"subject descriptor"	""
"Arraignments"	""	""#9"LITIGATION"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"ARRANGEMENTS"	"The activities involved in arranging for a journey or trip. Includes preparing travel itineraries, authorisations, entitlements etc. Also includes arrangements made for the delivery of equipment or goods and the usage made of facilities, vehicles, equipment and space.

See FUNCTIONS (social) for arrangements for social functions.

See CELEBRATIONS for arrangements for celebrations.

See CEREMONIES for arrangements for ceremonies.

See CONFERENCES for arrangements for conferences.

Tip: For travel arrangements, use the relevant keyword and activity descriptor. For example, STAFF DEVELOPMENT - CONFERENCES. PERSONNEL - ARRANGEMENTS - Travel may be used if the organisation wishes to document copies of all travel arrangements on one file. Classify travel arrangements for those who are not personnel with terms from the organisation's functional thesaurus."#9"Car Parking Spaces"	""#9"COMMUNITY RELATIONS|EQUIPMENT & STORES|FLEET MANAGEMENT|PERSONNEL"#9"Applications|Appointments|Bookings|Facilities|Funerals|Garages|Guest Lists|Hotels/Motels|Itineraries|Parking|Passports|Private Vehicles|Registration|Running Sheets|Schedules|Travel|Vehicles"#9"MOVING"	"RMO Keyword AAA"	"activity descriptor"	""
"Arrears (payment)"	"A debt which has remained unpaid though due."#9""	""#9"ACCOUNTING|PAYMENTS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Artwork"	""#9""	""#9"PRODUCTION"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Assessments"	""	""#9"EVALUATION|PERFORMANCE MANAGEMENT"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"ASSET MANAGEMENT"	"This keyword has been removed from the 1998 version of Keyword AAA.

See FINANCIAL MANAGEMENT - ASSET REGISTER for the monitoring and assessment of the assets of the organisation.

See the relevant keyword (EQUIPMENT AND STORES, FLEET MANAGEMENT, PROPERTY MANAGEMENT or TECHNOLOGY & TELECOMMUNICATIONS) for operational activities, such as the acquisition, operation, maintenance, and disposal of assets."#9""	""	""#9""#9""	"RMO Keyword AAA"	"SEE"	""
"ASSET REGISTER"	"The activities involved in recording in a subsidary ledger all fixed assets owned by the organisation.  Includes the date of purchase, depreciation expense, written down value as well as stocktaking and auditing notations.

Tip: Fixed assets include physical facilities such as land, buildings, factories, roads, schools, and their infrastructure, and products of value such as vehicles, technological equipment and other equipment with an economic life of over 12 months.

Tip: For operational activities, such as the acquisition, operation, maintenance and disposal of assets use the relevant keyword (EQUIPMENT AND STORES, FLEET MANAGEMENT, PROPERTY MANAGEMENT or TECHNOLOGY & TELECOMMINCATIONS). "#9""	""#9"FINANCIAL MANAGEMENT"#9"Plant Cards|Real Estate"#9""	"RMO Keyword AAA"	"activity descriptor"	""
"Attendance"	"Place correspondence on attendance at work or on courses/conferences etc. under the relevant keyword."#9""	""#9"COMMITTEES|CONFERENCES|EMPLOYMENT CONDITIONS|MEETINGS|TRAINING"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Attendance Sheets (flexible hours system)"	""	""#9"Flexible Hours|Working Hours"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Auctions"	""#9""	""#9"DISPOSAL"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"AUDIT"	"The activities associated with officially checking financial, quality assurance and operational records to ensure they have been kept and maintained in accordance with agreed or legislated standards and correctly record the events, processes and business of the organisation in a specified period. Includes compliance audits, financial audits, operational audits, recordkeeping audits, skills audits, system audits and quality assurance audits.

See COMPLIANCE for complying with standards and requirements.

See IMPLEMENTATION for the implementation and monitoring of processes, programs and services.

See STANDARDS for the standards against which the project or procedure is being audited.

See INSPECTIONS for examinations of equipment, items and facilities.

Tip: If one of the functions of the organisation is to audit other organisations, classify with terms from the organisation's functional thesaurus."#9""	""#9"EQUIPMENT & STORES|FINANCIAL MANAGEMENT|INFORMATION MANAGEMENT|OCCUPATIONAL HEALTH & SAFETY (OH&S)|STAFF DEVELOPMENT|STRATEGIC MANAGEMENT|TECHNOLOGY & TELECOMMUNICATIONS"#9"Accountable Books & Forms|Misappropriations|Quality|Records|Skill Assessment|Software"#9"COMPLIANCE|CONTROL|IMPLEMENTATION|INSPECTIONS|STANDARDS"	"RMO Keyword AAA"	"activity descriptor"	""
"Australia Post Services"	""	""#9"Mail Services"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Australian Capital Territory (ACT)"	""	""#9"ACT"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Australian Government"	""	""#9"Commonwealth"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"AUTHORISATION"	"The process of seeking and granting permission to undertake requested action."#9"Approvals (of funds, etc.)|Permission|Warrants (authorisations)"	""#9"FINANCIAL MANAGEMENT|FLEET MANAGEMENT|PERSONNEL"#9"Bonds (agreements)|Delegations (authority)|Travel"#9"ACCOUNTING"	"RMO Keyword AAA"	"activity descriptor"	""
"Awards (honours)"	""	""#9"Honours"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Awards (industrial)"	""#9"Conditions of Employment|Industrial Awards"	""#9"AGREEMENTS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Awards (prizes)"	""	""#9"Prizes"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Awards (scholarships)"	""	""#9"Scholarships"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Backups"	"Duplicate copies of networks, programs or data files which are made in order to prevent loss or damage to the originals."#9""	""#9"DATABASE MANAGEMENT"#9""#9"Counter Disaster Plan|Essential Services Contingency Plan"	"RMO Keyword AAA"	"subject descriptor"	""
"Balance Sheets"	"Statements of financial position, on specified dates, consisting of lists of assets and liabilities and set out in such a way that the total of each is equal or in balance."#9""	""#9"ACCOUNTING|BUDGETING|FINANCIAL STATEMENTS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Bank Accounts"	"The opening and maintenance of bank accounts.

Tip: Create a separate file for each bank account. "#9""	""#9"ACCOUNTING|SALARIES"#9""#9"Banking|Payroll"	"RMO Keyword AAA"	"subject descriptor"	""
"Banking"	"Includes the process of banking, e.g. designations, signatures etc."#9""	""#9"ACCOUNTING|SALARIES"#9""#9"Bank Accounts|Payroll"	"RMO Keyword AAA"	"subject descriptor"	""
"Barcode Readers"	""	""#9"Barcoding"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Barcodes"	""	""#9"Barcoding"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Barcoding"	""#9"Barcode Readers|Barcodes"	""#9"CONTROL"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Barriers (overtime, etc.)"	"Points which cannot be exceeded, e.g. cut-off rates prescribed in an award."#9""	""#9"EMPLOYMENT CONDITIONS"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Benchmarks"	""	""#9"STANDARDS"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Benefits (financial assistance)"	""	""#9"Financial Assistance"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Bequests"	"Gifts of money, personal property or real property etc., willed to the organisation. Excludes Trusts."#9""	""#9"DONATIONS"#9""#9"Trusts"	"RMO Keyword AAA"	"subject descriptor"	""
"Bills (accounts)"	""	""#9"ACCOUNTING"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Bills (parliamentary)"	"Tip: Add the name and year of the Bill as free text."#9"Draft Acts|Parliamentary Bills|Private Bills"	""#9"ADVICE"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Bonds (agreements)"	"An agreement relating to a monetary sum, binding on the person making it."#9"Agreements (bonds)|Monetary Aggreements"	""#9"AUTHORISATION"#9""#9"Cadets/Cadetships (personnel)|Contracts"	"RMO Keyword AAA"	"subject descriptor"	""
"Bookings"	"Reserving seats, rooms, or services or reserving items or goods for use."#9"Reservations"	""#9"ARRANGEMENTS|CELEBRATIONS|CEREMONIES|CONFERENCES|FUNCTIONS (social)"#9""#9"Hotels/Motels"	"RMO Keyword AAA"	"subject descriptor"	""
"Borrowing (lending)"	""	""#9"Loans"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"BPR"	"An abbreviation for Business Process Re-Engineering. "	""#9"Business Process Re-Engineering (BPR)"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Brand Names"	""	""#9"Trademarks"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Breaches (of laws etc.)"	""	""#9"INFRINGEMENTS"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Break-ins"	""#9""	""#9"MAINTENANCE|SECURITY"#9""#9"Thefts|Vandalism"	"RMO Keyword AAA"	"subject descriptor"	""
"Breaks (working hours)"	""	""#9"Working Hours"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
"Briefing Papers"	""#9""	""#9"COMMITTEES|MEETINGS|REPORTING"#9""#9""	"RMO Keyword AAA"	"subject descriptor"	""
"Briefings (staff)"	""	""#9"MEETINGS"#9""#9""#9""	"RMO Keyword AAA"	"non-preferred"	""
